Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphCompDense;0;double;3264;60001;7538709336
graphCompDense;1;double;5111;60004;7272973352
graphCompDense;2;double;143;60001;7011305872
graphCompDense;3;double;15616;60001;7351749920
graphCompDense;4;double;0;62556;8274053872
graphCompDense;5;double;0;60001;6362170688
graphCompDense;6;double;90;60001;7837741304
graphCompDense;7;double;52;60001;7640045808
graphCompDense;8;double;41;60001;7107144552
graphCompDense;9;double;0;60001;7104904920
graphCompDense;10;double;1578;60001;7276033640
graphCompDense;11;double;89;60001;7531984928
graphCompDense;12;double;0;60001;3004498848
graphCompDense;13;double;38;60001;8319799880
graphCompDense;14;double;204;60001;6833884016
graphCompDense;15;double;0;60001;8018850960
graphCompDense;16;double;0;60001;7407995688
graphCompDense;17;double;156;60001;7356543352
graphCompDense;18;double;414;60001;6261293032
graphCompDense;19;double;0;60001;7748283552
graphCompDense;20;double;0;60001;7638460832
graphCompDense;21;double;5114;60001;5814188408
graphCompDense;22;double;29491;61907;4682513720
graphCompDense;23;double;0;60001;7871543936
graphCompDense;24;double;151;60001;8184444064
graphCompDense;25;double;1887;60001;2405693192
graphCompDense;26;double;0;60001;8317910640
graphCompDense;27;double;47;60001;7057680488
graphCompDense;28;double;25;60001;8608599216
graphCompDense;29;double;88;60001;8269670136
graphCompDense;30;double;213;60001;8367939520
graphCompDense;31;double;0;60001;6116185304
graphCompDense;32;double;30;60001;4114956136
graphCompDense;33;double;10845;60001;8413196760
graphCompDense;34;double;71;60001;7765882632
graphCompDense;35;double;159;60001;7267362792
graphCompDense;36;double;830;60001;6350180680
graphCompDense;37;double;78;60001;7679440232
graphCompDense;38;double;740;60218;5840633320
graphCompDense;39;double;28041;60001;7339657840
graphCompDense;40;double;3;60001;7955710456
graphCompDense;41;double;58;60001;8176291864
graphCompDense;42;double;60;60001;7825983480
graphCompDense;43;double;5623;60001;8780334520
graphCompDense;44;double;405;60001;7921457944
graphCompDense;45;double;231;60001;7209834232
graphCompDense;46;double;1417;60001;5164620328
graphCompDense;47;double;67;60001;7763727736
graphCompDense;48;double;30;60179;7079572976
graphCompDense;49;double;169;60001;7766483384
graphCompDense;50;double;380;60001;8419937088
graphCompDense;51;double;1184;60908;7069508672
graphCompDense;52;double;0;60001;6863841096
graphCompDense;53;double;0;60001;8442356976
graphCompDense;54;double;3702;60001;9666991880
graphCompDense;55;double;80;60005;7914094920
graphCompDense;56;double;0;60001;8033759008
graphCompDense;57;double;255863;60001;801133816
graphCompDense;58;double;0;60001;5636672480
graphCompDense;59;double;0;60001;7280700248
graphCompDense;60;double;1720;60363;7024224144
graphCompDense;61;double;7;60001;7745729376
graphCompDense;62;double;4;60001;7717178224
graphCompDense;63;double;96;60001;8184520640
graphCompDense;64;double;0;60001;3577811776
graphCompDense;65;double;35524;60001;77879960
graphCompDense;66;double;1421;60001;7868115336
graphCompDense;67;double;0;60001;7417552016
graphCompDense;68;double;57;60001;7711908456
graphCompDense;69;double;19412;60001;7571098296
graphCompDense;70;double;77;60001;7892564544
graphCompDense;71;double;66;60001;7368484192
graphCompDense;72;double;4435;60001;386460768
graphCompDense;73;double;300;60027;6188252352
graphCompDense;74;double;0;60001;7195204136
graphCompDense;75;double;0;60001;4872587720
graphCompDense;76;double;5;60001;7472548744
graphCompDense;77;double;0;60001;2457526144
graphCompDense;78;double;0;60136;7022615592
graphCompDense;79;double;0;60001;7584414936
graphCompDense;80;double;0;60001;4553027688
graphCompDense;81;double;0;60001;7813883136
graphCompDense;82;double;456;60629;5831829136
graphCompDense;83;double;2;60001;8174737888
graphCompDense;84;double;31739;60001;6752805512
graphCompDense;85;double;41;60001;8054375800
graphCompDense;86;double;0;60001;8160265168
graphCompDense;87;double;30;60001;7787458016
graphCompDense;88;double;99;60001;6868745568
graphCompDense;89;double;0;60001;8120857544
graphCompDense;90;double;69;60001;8165383600
graphCompDense;91;double;134;60001;8501400472
graphCompDense;92;double;27;60005;7852232240
graphCompDense;93;double;2190;60005;525549216
graphCompDense;94;double;0;60001;8526721464
graphCompDense;95;double;47;60001;7169820848
graphCompDense;96;double;0;60001;7771383792
graphCompDense;97;double;0;60001;7191280400
graphCompDense;98;double;80;60001;7311580544
graphCompDense;99;double;0;60319;7046514936
